seconds,sensor_0,actuator_0,target_0,sensor_1,actuator_1,target_1
0.0,20.1,45.2,20.0,30.5,55.1,30.0
0.1,20.3,46.8,20.0,30.8,56.3,30.0
0.2,20.5,48.1,20.0,31.2,57.8,30.0
0.3,20.8,49.5,20.0,31.5,59.2,30.0
0.4,21.1,50.8,20.0,31.9,60.5,30.0
0.5,21.4,52.0,20.0,32.2,61.7,30.0
0.6,21.7,53.1,20.0,32.6,62.9,30.0
0.7,22.0,54.1,20.0,32.9,63.9,30.0
0.8,22.2,54.9,20.0,33.2,64.8,30.0
0.9,22.5,55.6,20.0,33.5,65.6,30.0
1.0,22.7,56.2,20.0,33.7,66.2,30.0
1.1,22.9,56.6,20.0,33.9,66.7,30.0
1.2,23.1,56.9,20.0,34.1,67.1,30.0
1.3,23.2,57.1,20.0,34.2,67.3,30.0
1.4,23.3,57.2,20.0,34.3,67.4,30.0
1.5,23.4,57.2,20.0,34.4,67.4,30.0
1.6,23.5,57.1,20.0,34.4,67.3,30.0
1.7,23.5,56.9,20.0,34.4,67.0,30.0
1.8,23.5,56.6,20.0,34.4,66.7,30.0
1.9,23.5,56.2,20.0,34.3,66.2,30.0
2.0,23.4,55.8,20.0,34.2,65.7,30.0
2.1,23.3,55.2,20.0,34.1,65.1,30.0
2.2,23.2,54.6,20.0,33.9,64.4,30.0
2.3,23.1,53.9,20.0,33.7,63.6,30.0
2.4,22.9,53.2,20.0,33.5,62.8,30.0
2.5,22.7,52.4,20.0,33.2,61.9,30.0
2.6,22.5,51.6,20.0,32.9,60.9,30.0
2.7,22.3,50.7,20.0,32.6,59.9,30.0
2.8,22.0,49.8,20.0,32.3,58.9,30.0
2.9,21.8,48.9,20.0,31.9,57.8,30.0
3.0,21.5,47.9,20.0,31.6,56.7,30.0
3.1,21.2,46.9,20.0,31.2,55.6,30.0
3.2,20.9,45.9,20.0,30.8,54.5,30.0
3.3,20.6,44.9,20.0,30.4,53.4,30.0
3.4,20.3,43.9,20.0,30.0,52.3,30.0
3.5,20.0,42.9,20.0,29.6,51.2,30.0
3.6,19.7,41.9,20.0,29.2,50.1,30.0
3.7,19.4,40.9,20.0,28.8,49.1,30.0
3.8,19.1,40.0,20.0,28.4,48.1,30.0
3.9,18.8,39.1,20.0,28.0,47.1,30.0
4.0,18.6,38.3,20.0,27.6,46.2,30.0
4.1,18.3,37.5,20.0,27.2,45.3,30.0
4.2,18.1,36.8,20.0,26.8,44.5,30.0
4.3,17.9,36.1,20.0,26.5,43.7,30.0
4.4,17.7,35.5,20.0,26.1,43.0,30.0
4.5,17.5,34.9,20.0,25.8,42.3,30.0
4.6,17.3,34.4,20.0,25.5,41.7,30.0
4.7,17.2,34.0,20.0,25.2,41.2,30.0
4.8,17.1,33.6,20.0,24.9,40.7,30.0
4.9,17.0,33.3,20.0,24.7,40.3,30.0
5.0,16.9,33.0,20.0,24.5,40.0,30.0
