time,temp_a,temp_b
00:00.000,25.30,25.59
00:00.026,25.29,25.59
00:00.060,25.29,25.59
00:00.094,25.29,25.59
00:00.125,25.29,25.59
00:00.158,25.29,25.59
00:00.205,25.29,25.59
00:00.232,25.29,25.59
00:00.260,25.29,25.59
00:00.284,25.29,25.59
00:00.314,25.29,25.59
00:00.339,25.29,25.59
00:01.641,25.29,25.59
00:01.764,25.29,25.59
00:01.887,25.29,25.59
00:02.010,25.29,25.59
00:02.136,25.29,25.59
00:02.260,25.29,25.59
00:02.383,25.29,25.59
00:02.506,25.29,25.59
00:02.632,25.29,25.59
00:02.755,25.29,25.59
00:02.878,25.29,25.59
00:03.001,25.29,25.59
00:03.128,25.29,25.59
00:03.251,25.29,25.59
00:03.374,25.29,25.59
00:03.497,25.29,25.59
00:03.623,25.29,25.59
00:03.747,25.29,25.59
00:03.869,25.29,25.59
00:03.992,25.29,25.59
00:04.119,25.29,25.59
00:04.242,25.29,25.59
00:04.365,25.29,25.59
00:04.488,25.29,25.59
00:04.615,25.29,25.59
00:04.738,25.29,25.59
00:04.861,25.29,25.59
00:04.984,25.29,25.59
00:05.110,25.29,25.59
00:05.233,25.29,25.59
00:05.356,25.29,25.59
00:05.479,25.29,25.59
00:05.606,25.29,25.59
00:05.729,25.29,25.59
00:05.852,25.29,25.59
00:05.975,25.29,25.59
00:06.101,25.29,25.59
00:06.224,25.29,25.59
00:06.348,25.29,25.59
00:06.470,25.29,25.59
00:06.597,25.29,25.59
00:06.720,25.29,25.59
00:06.843,25.29,25.59
00:06.966,25.29,25.59
00:07.093,25.29,25.59
00:07.215,25.29,25.59
00:07.339,25.29,25.59
00:07.461,25.29,25.59
00:07.588,25.29,25.59
00:07.711,25.29,25.59
00:07.834,25.29,25.59
00:07.957,25.29,25.59
00:08.084,25.29,25.59
00:08.207,25.29,25.59
00:08.330,25.29,25.59
00:08.453,25.29,25.59
00:08.579,25.29,25.59
00:08.703,25.29,25.59
00:08.825,25.29,25.59
00:08.948,25.29,25.59
00:09.075,25.29,25.59
00:09.198,25.29,25.59
00:09.321,25.29,25.59
00:09.444,25.29,25.59
00:09.571,25.29,25.59
00:09.694,25.29,25.59
00:09.817,25.29,25.59
00:09.940,25.29,25.59
00:10.066,25.29,25.59
00:10.190,25.29,25.59
00:10.312,25.29,25.59
00:10.435,25.29,25.59
00:10.562,25.29,25.59
00:10.685,25.29,25.59
00:10.808,25.29,25.59
00:10.931,25.29,25.59
00:11.058,25.29,25.59
00:11.181,25.29,25.59
00:11.304,25.29,25.59
00:11.426,25.29,25.59
00:11.553,25.29,25.59
00:11.676,25.29,25.59
00:11.799,25.29,25.59
00:11.922,25.29,25.59
00:12.049,25.29,25.59
00:12.172,25.29,25.59
00:13.294,25.29,25.58
00:13.421,25.29,25.58
00:13.544,25.29,25.58
00:13.667,25.29,25.58
00:13.790,25.29,25.58
00:13.917,25.29,25.58
00:14.040,25.29,25.58
00:14.163,25.29,25.58
00:14.289,25.29,25.57
00:14.412,25.29,25.57
00:14.535,25.29,25.57
00:14.658,25.29,25.57
00:14.785,25.29,25.57
00:14.907,25.29,25.57
00:15.031,25.29,25.56
00:15.154,25.29,25.56
00:15.280,25.29,25.56
00:15.404,25.29,25.56
