seconds,sensor_0,sensor_1,actuator_0,target
22.1001,26.3280,26.0480,30.0000,"25.0"
22.1400,26.3030,26.0990,30.0000,"25.0"
22.1600,26.3280,26.0990,30.0000,"25.0"
22.2000,26.3530,26.0990,30.0000,"25.0"
22.2200,26.3530,26.0990,30.0000,"25.0"
22.2600,26.3280,26.0730,30.0000,"25.0"
22.2800,26.3280,26.0730,30.0000,"25.0"
22.3200,26.3280,26.0730,30.0000,"25.0"
22.3400,26.3280,26.0730,30.0000,"25.0"
22.3800,26.3530,26.0730,30.0000,"25.0"
22.4000,26.3280,26.0730,30.0000,"25.0"
22.4400,26.3280,26.0730,30.0000,"25.0"
22.4600,26.3530,26.0730,30.0000,"25.0"
22.5000,26.3280,26.0480,30.0000,"25.0"
22.5200,26.3280,26.0730,30.0000,"25.0"
22.5600,26.3530,26.0730,30.0000,"25.0"
22.5800,26.3530,26.0730,30.0000,"25.0"
22.6200,26.3530,26.0730,30.0000,"25.0"
22.6400,26.3790,26.0730,30.0000,"25.0"
22.6800,26.3280,26.0730,30.0000,"25.0"
22.7000,26.3530,26.0730,30.0000,"25.0"
22.7400,26.3280,26.0730,30.0000,"25.0"
22.7600,26.3280,26.0730,30.0000,"25.0"
22.8000,26.3530,26.0730,30.0000,"25.0"
22.8200,26.3280,26.0990,30.0000,"25.0"
22.8600,26.3790,26.0730,30.0000,"25.0"
22.8800,26.3280,26.0480,30.0000,"25.0"
22.9200,26.3530,26.0990,30.0000,"25.0"
22.9400,26.3530,26.0730,30.0000,"25.0"
22.9800,26.3280,26.0730,30.0000,"25.0"
23.0000,26.3530,26.0730,30.0000,"25.0"
23.0400,26.3280,26.0730,30.0000,"25.0"
23.0600,26.3530,26.0730,30.0000,"25.0"
23.1000,26.3280,26.0730,30.0000,"25.0"
23.1200,26.3530,26.0730,30.0000,"25.0"
23.1600,26.3530,26.0730,30.0000,"25.0"
23.1800,26.3530,26.0480,30.0000,"25.0"
23.2200,26.3280,26.0730,30.0000,"25.0"
23.2400,26.3530,26.0730,30.0000,"25.0"
23.2800,26.3530,26.0730,30.0000,"25.0"
23.3000,26.3030,26.0730,30.0000,"25.0"
23.3400,26.3280,26.0730,30.0000,"25.0"
23.3600,26.3280,26.0730,30.0000,"25.0"
23.4000,26.3280,26.0730,30.0000,"25.0"
23.4200,26.3280,26.0730,30.0000,"25.0"
23.4600,26.3530,26.0730,30.0000,"25.0"
23.4800,26.3280,26.0730,30.0000,"25.0"
23.5200,26.3280,26.0730,30.0000,"25.0"
23.5400,26.3280,26.0730,30.0000,"25.0"
23.5800,26.3280,26.1240,30.0000,"25.0"
23.6000,26.3280,26.0990,30.0000,"25.0"
23.6400,26.3280,26.0480,30.0000,"25.0"
23.6601,26.3280,26.0730,30.0000,"25.0"
23.7000,26.3280,26.0990,30.0000,"25.0"
23.7200,26.3530,26.0730,30.0000,"25.0"
23.7600,26.3530,26.0730,30.0000,"25.0"
23.7800,26.3530,26.0990,30.0000,"25.0"
23.8200,26.3530,26.0730,30.0000,"25.0"
23.8400,26.3280,26.0990,30.0000,"25.0"
23.8800,26.3280,26.0730,30.0000,"25.0"
23.9000,26.3280,26.0730,30.0000,"25.0"
23.9400,26.3530,26.0730,30.0000,"25.0"
23.9600,26.3790,26.0730,30.0000,"25.0"
24.0000,26.3530,26.0480,30.0000,"25.0"
24.0200,26.3530,26.0480,30.0000,"25.0"
24.0600,26.3530,26.0990,30.0000,"25.0"
24.0800,26.3280,26.0730,30.0000,"25.0"
24.1200,26.3280,26.0730,30.0000,"25.0"
24.1400,26.3530,26.0730,30.0000,"25.0"
24.1800,26.3280,26.0730,30.0000,"25.0"
24.2000,26.3530,26.0730,30.0000,"25.0"
